dialogue_id,turn_index,phase,speaker,is_moderator,text,selected_reason,last_addressed,pending_question_target,repetition_pressure,tokens_in,tokens_out,role,is_primary,assertiveness,friendliness,talkativeness,agreeableness,patience,contrarian,response_length
20260510_124215_486541,0,opening,Moderator,True,"Hey everyone, let's get started.",moderator,,,0.0,0,0,,,,,,,,,
20260510_124215_486541,0,opening,Moderator,True,Today we are deciding: Plan a Birthday Party for Tim,moderator,,,0.0,0,0,,,,,,,,,
20260510_124215_486541,0,opening,Moderator,True,Here are the options on the table:,moderator,,,0.0,0,0,,,,,,,,,
20260510_124215_486541,0,opening,Moderator,True,"Option A - Intimate Celebration: small guest list, home venue, DIY decorations",moderator,,,0.0,0,0,,,,,,,,,
20260510_124215_486541,0,opening,Moderator,True,"Option B - Outdoor Adventure: large guest list, park venue, catered food and drinks",moderator,,,0.0,0,0,,,,,,,,,
20260510_124215_486541,0,opening,Moderator,True,"Option C - Themed Bash: medium guest list, event hall venue, professional entertainment",moderator,,,0.0,0,0,,,,,,,,,
20260510_124215_486541,0,opening,Moderator,True,"Option D - Low-Key Gathering: close friends and family, restaurant venue, simple cake and gifts",moderator,,,0.0,0,0,,,,,,,,,
20260510_124215_486541,0,opening,Moderator,True,What matters most to you when it comes to making Tim's birthday party a special and memorable day?,moderator,,,0.0,0,0,,,,,,,,,
20260510_124215_486541,1,opening,Drew,False,Keep it small.,weighted,,,0.0,543,5,birthday_person,True,4,2,1,2,3,3,1
20260510_124215_486541,2,preference_expression,Avery,False,Option D — a restaurant venue is less likely to end in logistical disaster.,weighted,,,0.0,579,16,party_planner,False,4,1,3,4,3,5,3
20260510_124215_486541,3,preference_expression,Jordan,False,Park venue is a must.,weighted,,,0.0,583,7,event_coordinator,False,3,1,5,5,5,1,1
20260510_124215_486541,3,preference_expression,Drew,False,Small guest list is key.,weighted,,,0.0,578,7,birthday_person,True,4,2,1,2,3,3,1
20260510_124215_486541,4,negotiation,Jordan,False,Less stress outdoors.,weighted,,,0.111,608,5,event_coordinator,False,3,1,5,5,5,1,1
