dialogue_id,turn_index,phase,speaker,is_moderator,text,selected_reason,last_addressed,pending_question_target,repetition_pressure,tokens_in,tokens_out,role,is_primary,assertiveness,friendliness,talkativeness,agreeableness,patience,contrarian,response_length
20260510_140634_280442,0,opening,Moderator,True,"Hey everyone, let's get started.",moderator,,,0.0,0,0,,,,,,,,,
20260510_140634_280442,0,opening,Moderator,True,Today we are deciding: Choose the best city to live in for remote work,moderator,,,0.0,0,0,,,,,,,,,
20260510_140634_280442,0,opening,Moderator,True,Here are the options on the table:,moderator,,,0.0,0,0,,,,,,,,,
20260510_140634_280442,0,opening,Moderator,True,"Option A - Boulder: high speed internet, outdoor recreation opportunities, low crime rate",moderator,,,0.0,0,0,,,,,,,,,
20260510_140634_280442,0,opening,Moderator,True,"Option B - Portland: vibrant cultural scene, food trucks and cafes, moderate cost of living",moderator,,,0.0,0,0,,,,,,,,,
20260510_140634_280442,0,opening,Moderator,True,"Option C - Austin: thriving tech community, live music venues, hot climate",moderator,,,0.0,0,0,,,,,,,,,
20260510_140634_280442,0,opening,Moderator,True,"Option D - Bozeman: stunning mountain views, growing startup ecosystem, limited job opportunities",moderator,,,0.0,0,0,,,,,,,,,
20260510_140634_280442,0,opening,Moderator,True,What matters most to you when choosing a city for remote work?,moderator,,,0.0,0,0,,,,,,,,,
20260510_140634_280442,1,opening,Avery,False,"Hey, Boulder seems like the safest bet so far, low crime rate is a big plus for me.",weighted,,,0.0,682,22,remote_worker,True,5,1,3,3,3,4,3
20260510_140634_280442,2,opening,Blake,False,"Yo, Boulder sounds nice, but what about commute?",weighted,,,0.0,694,12,relocation_expert,False,5,2,2,4,1,4,1
20260510_140634_280442,3,opening,Quinn,False,"Hi, commute is key for me too, Portland's vibe is nice though.",weighted,,,0.0,729,17,city_specialist,False,1,4,5,3,1,1,1
20260510_140634_280442,4,negotiation,Avery,False,"Boulder's commute isn't even an issue for remote work, Quinn's Portland vibe is overrated anyway.",weighted,,,0.25,728,23,remote_worker,True,5,1,3,3,3,4,3
20260510_140634_280442,4,negotiation,Quinn,False,"Portland's vibe isn't overrated, trust me.",weighted,,,0.25,756,12,city_specialist,False,1,4,5,3,1,1,1
20260510_140634_280442,4,negotiation,Blake,False,"Commute still matters for errands, etc.",weighted,,,0.25,740,11,relocation_expert,False,5,2,2,4,1,4,1
