# Format: participant_count | topic
# Counts are balanced across the supported range: 2-5 appear 17 times; 6-7 appear 16 times.
# Blank lines and lines beginning with # are ignored.

2 | Choose a backup strategy for a small university research lab
3 | Select a format for a neighborhood summer fundraiser
4 | Choose a laptop model for a mobile software-development team
5 | Select a transport method for a fragile museum exhibit
6 | Choose a weekend activity for friends with different fitness levels
7 | Select a meeting format for a hybrid engineering team
2 | Choose an energy-saving upgrade for a rented apartment building
3 | Select a documentary for a public media-discussion evening
4 | Choose a hiking route for a mixed-experience outdoor club
5 | Select a presentation format for a student project showcase
6 | Choose a data-sharing platform for an international research collaboration
7 | Select a venue type for a small independent film festival
2 | Choose a delivery method for temperature-sensitive laboratory samples
3 | Select a study format for an exam-preparation group
4 | Choose a ticketing system for a volunteer-run cultural event
5 | Select a meal plan for a multi-day academic workshop
6 | Choose a customer-support channel mix for a small online retailer
7 | Select a prototyping approach for a new wearable device
2 | Choose an archive format for a local-history digitization project
3 | Select a public-transport improvement for a university campus
4 | Choose a classroom technology setup for an introductory programming course
5 | Select a scheduling model for a shared community workshop
6 | Choose a conference destination for a cost-conscious research group
7 | Select a crop-monitoring method for a medium-sized farm
2 | Choose a rehearsal schedule for an amateur theatre production
3 | Select a workspace arrangement for a growing design studio
4 | Choose a packaging material for shipping handmade ceramics
5 | Select a volunteer coordination tool for a food bank
6 | Choose a cooling strategy for a small server room
7 | Select a reading list theme for an interdisciplinary book club
2 | Choose a maintenance plan for a fleet of shared bicycles
3 | Select a visitor-guidance system for a regional museum
4 | Choose a payment model for a community fitness program
5 | Select a recruitment channel for a specialized technical internship
6 | Choose a lighting upgrade for a historic public library
7 | Select a field-recording setup for a wildlife research team
2 | Choose a menu concept for a university pop-up café
3 | Select a software release strategy for a small SaaS product
4 | Choose a route-planning method for local home-care visits
5 | Select a waste-reduction measure for a large office floor
6 | Choose a remote-collaboration tool for a multilingual project team
7 | Select a photography format for documenting an archaeological excavation
2 | Choose a heating system for a newly renovated community hall
3 | Select an onboarding format for new hospital administrative staff
4 | Choose a fundraising product for a school environmental club
5 | Select a storage method for a collection of oral-history recordings
6 | Choose a communication plan for a temporary road closure
7 | Select a testing strategy for a mobile banking prototype
2 | Choose a shared vehicle type for a rural social-service organization
3 | Select an exhibition layout for a compact art gallery
4 | Choose a charging solution for an apartment bicycle-storage room
5 | Select a language-learning activity for an adult evening class
6 | Choose a reservation policy for a popular university makerspace
7 | Select a network upgrade for a small coworking office
2 | Choose a catering format for an outdoor graduation reception
3 | Select a quality-control method for a small electronics workshop
4 | Choose a member-feedback process for a community sports club
5 | Select a migration approach for an aging document-management system
6 | Choose a sponsorship package for a regional science fair
7 | Select a transport option for employees during a temporary office relocation
2 | Choose a soil-improvement method for an urban community garden
3 | Select a publication format for an annual nonprofit impact report
4 | Choose a queue-management system for a busy municipal service desk
5 | Select a recording format for a university lecture series
6 | Choose a security-access method for a shared laboratory building
7 | Select a repair-or-replace strategy for aging classroom tablets
2 | Choose a weather-contingency plan for an outdoor music event
3 | Select a mentoring model for first-year computer-science students
4 | Choose a material for reusable food-delivery containers
5 | Select a launch event format for a local history podcast
6 | Choose a database hosting option for a student-run web service
7 | Select a checkout system for a tool-lending library
2 | Choose a travel itinerary style for a group visiting three European cities
3 | Select a conservation method for fragile paper documents
4 | Choose an appointment-reminder channel for a community clinic
5 | Select a team-retrospective format after a difficult software project
6 | Choose a noise-reduction measure for an open-plan study area
7 | Select a distribution method for emergency information during a campus outage
2 | Choose a subscription model for an independent digital magazine
3 | Select a workshop format for teaching responsible AI use
4 | Choose a seating arrangement for a multi-stakeholder planning meeting
5 | Select an inventory method for a small theatre costume department
6 | Choose a water-saving upgrade for a student residence
7 | Select a public-engagement activity for a marine-research institute
2 | Choose a code-review workflow for a distributed development team
3 | Select a restoration priority for a historic town square
4 | Choose a transport container for delicate scientific instruments
5 | Select a peer-assessment model for a project-based university course
6 | Choose a customer-loyalty program for a neighborhood grocery store
7 | Select a scheduling system for shared music-practice rooms
2 | Choose a biodiversity measure for a corporate campus
3 | Select a digital-signage setup for a railway-station renovation
4 | Choose an equipment-purchasing plan for a school robotics club
5 | Select a conflict-resolution format for a volunteer committee
6 | Choose a backup venue for a winter community market
7 | Select a version-control training approach for nontechnical researchers
2 | Choose a delivery schedule for meals in a large conference venue
3 | Select an accessibility improvement for a small independent cinema
4 | Choose a sensor deployment strategy for monitoring a river
5 | Select a communication platform for coordinating a student election
