2026-05-10 | 20260510_123653_471519 | setup=1566/550 | dialogue=21243/939 | total=22809/1489 | Find a Bar for tonight
2026-05-10 | 20260510_124215_486541 | setup=1581/474 | dialogue=15609/326 | total=17190/800 | Plan a Birthday Party for Tim
2026-05-10 | 20260510_124839_477688 | setup=1594/535 | dialogue=9102/264 | total=10696/799 | Find a University group Project theme in Computer Science
2026-05-10 | 20260510_125748_715570 | setup=1612/475 | dialogue=17712/559 | total=19324/1034 | decide on a vacation spot for the summer in your group
2026-05-10 | 20260510_130732_782170 | setup=1588/500 | dialogue=12945/471 | total=14533/971 | Book a Flight to Rome, Italy
2026-05-10 | 20260510_131335_351231 | setup=1609/575 | dialogue=8706/169 | total=10315/744 | You're in a book club, find the next book to read
2026-05-10 | 20260510_131849_395133 | setup=1642/579 | dialogue=35841/1028 | total=37483/1607 | Pick a topic for a group presentation about a uncmomon/niech
2026-05-10 | 20260510_133153_489505 | setup=1619/498 | dialogue=51320/1594 | total=52939/2092 | outcome=force_close | Find a date and plan for a casual meeting among friends
2026-05-10 | 20260510_134430_124923 | setup=1616/538 | dialogue=52268/1921 | total=53884/2459 | outcome=force_close | Decide which game engine to use for an indie game
2026-05-10 | 20260510_134859_756703 | setup=1600/533 | dialogue=38687/1226 | total=40287/1759 | outcome=force_close | Pick the best sci-fi universe for a long-term series
2026-05-10 | 20260510_135723_562209 | setup=1598/563 | dialogue=24726/725 | total=26324/1288 | outcome=success | Decide what items to bring to a deserted island
2026-05-10 | 20260510_140634_280442 | setup=1601/516 | dialogue=35530/671 | total=37131/1187 | outcome=force_close | Choose the best city to live in for remote work
2026-05-10 | 20260510_141426_787585 | setup=1590/576 | dialogue=45090/1374 | total=46680/1950 | outcome=force_close | Decide how to spend a lottery jackpot responsibly
2026-05-10 | 20260510_142729_032722 | setup=1605/531 | dialogue=52237/1822 | total=53842/2353 | outcome=force_close | Choose the best detective for solving an impossible crime
2026-05-10 | 20260510_143649_271162 | setup=1578/482 | dialogue=34503/784 | total=36081/1266 | outcome=success | Plan a cross-country road trip in Europe2026-05-10 | 20260510_144752_430671 | setup=1618/555 | dialogue=29505/675 | total=31123/1230 | outcome=success | Which Sci-fi technology should exist in our day to day life?
2026-05-11 | 20260511_115324_407197 | setup=1312/401 | dialogue=9426/233 | total=10738/634 | outcome=pending | Is god real?
2026-05-11 | 20260511_121407_181061 | setup=1528/568 | dialogue=21985/359 | total=23513/927 | outcome=success | Find a historic science person for a group presentation
2026-05-11 | 20260511_122406_693281 | setup=1521/447 | dialogue=34633/493 | total=36154/940 | outcome=force_close | Best Ski Resort for next winter vacation
2026-05-11 | 20260511_123029_444600 | setup=1552/543 | dialogue=43604/1011 | total=45156/1554 | outcome=force_close | In which Fantasy world would you live if you'd have the chan
2026-05-11 | 20260511_125013_424694 | setup=1538/514 | dialogue=53007/1913 | total=54545/2427 | outcome=force_close | Find a restaurant for tonight
2026-05-11 | 20260511_125948_709647 | setup=1553/562 | dialogue=39820/1190 | total=41373/1752 | outcome=force_close | Find a Flight to Uppsala, Sweden
2026-05-11 | 20260511_134437_221157 | setup=2998/677 | dialogue=42432/1295 | total=45430/1972 | outcome=force_close | Which Sci-fi technology should exist in our world?
2026-05-11 | 20260511_134951_477542 | setup=3045/706 | dialogue=48337/1749 | total=51382/2455 | outcome=force_close | Plan a secret birthday party for Steve
2026-05-11 | 20260511_144900_817866 | setup=3105/737 | dialogue=25543/773 | total=28648/1510 | outcome=success | Find a New Book for this weeks Book Club reading
2026-05-11 | 20260511_145238_858023 | setup=3019/703 | dialogue=36753/1116 | total=39772/1819 | outcome=force_close | Which World of Warcraft character to level next
2026-05-20 | 20260520_111928_556646 | setup=2983/781 | dialogue=50338/1524 | total=53321/2305 | outcome=force_close | Book a Flight to Berlin from Sydney
2026-05-20 | 20260520_113241_528315 | setup=2871/772 | dialogue=19487/200 | total=22358/972 | outcome=success | Find a new Book for this weeks Book Club reading
2026-05-20 | 20260520_114052_594392 | setup=3074/788 | dialogue=32831/632 | total=35905/1420 | outcome=force_close | Find a presentation topic for a project in the Humanities
2026-05-20 | 20260520_115134_200020 | setup=2949/766 | dialogue=39640/690 | total=42589/1456 | outcome=force_close | Whats the most helpful scifi tech that should exist today
2026-05-20 | 20260520_115929_874717 | setup=2901/733 | dialogue=42746/721 | total=45647/1454 | outcome=force_close | Find a Restaurant for tonight
2026-05-20 | 20260520_120833_532646 | setup=3138/809 | dialogue=43707/943 | total=46845/1752 | outcome=force_close | Which Swedish Icehockey team should we root for in the next 
2026-05-20 | 20260520_121812_928499 | setup=3138/777 | dialogue=52288/1082 | total=55426/1859 | outcome=force_close | As a group you found a new remote job. You can now decide on
2026-05-20 | 20260520_124113_800425 | setup=3014/718 | dialogue=17690/244 | total=20704/962 | outcome=success | Find a new book for this weeks book club reading
2026-05-20 | 20260520_124317_699413 | setup=3042/773 | dialogue=19606/294 | total=22648/1067 | outcome=success | Book a Flight to Stockholm, Sweden
2026-05-20 | 20260520_124538_013114 | setup=3148/802 | dialogue=51731/911 | total=54879/1713 | outcome=success | which scifi tech should exist today
2026-05-20 | 20260520_125223_612508 | setup=2981/772 | dialogue=54227/814 | total=57208/1586 | outcome=force_close | Find a restaurant for tonight
