dialogue_id,turn_index,phase,speaker,is_moderator,text,selected_reason,last_addressed,pending_question_target,repetition_pressure,role,is_primary,assertiveness,friendliness,talkativeness,agreeableness,patience,contrarian,response_length
20260504_141354_563426,0,opening,Moderator,True,"Hey everyone, glad you could join.",moderator,,,0.0,,,,,,,,,
20260504_141354_563426,0,opening,Moderator,True,Today we are talking about: Should we go out to a club tonight?,moderator,,,0.0,,,,,,,,,
20260504_141354_563426,0,opening,Moderator,True,"No agenda, no right answers — just share whatever is on your mind.",moderator,,,0.0,,,,,,,,,
20260504_141354_563426,0,opening,Moderator,True,What's your honest take on: Should we go out to a club tonight??,moderator,,,0.0,,,,,,,,,
20260504_141354_563426,1,opening,Blake,False,"I'm down for hitting a club tonight, sounds like a great way to unwind and have some fun.",weighted,,,0.0,social_coordinator,False,5,4,2,5,4,1,1
20260504_141354_563426,2,discussion,Riley,False,"Blake's enthusiasm for hitting a club is understandable, but going to a crowded club doesn't sound like the best idea to me since I'm driving and have to make sure everyone gets home safely.",weighted,,,0.0,designated_driver,False,5,5,2,2,3,3,2
20260504_141354_563426,2,discussion,Casey,False,"Clubs are just so predictable and loud, I'd rather not spend my birthday in a crowded room with mediocre music. A low-key speakeasy sounds way more appealing to me, something sophisticated and unique.",weighted,,,0.0,birthday_person,True,5,2,5,1,2,5,3
20260504_141354_563426,3,discussion,Blake,False,"Casey makes a valid point about loud clubs being overwhelming, but personally, I think a live DJ can be really energizing and fun.",weighted,,,0.207,social_coordinator,False,5,4,2,5,4,1,1
20260504_141354_563426,3,discussion,Casey,False,"Loud clubs with live DJs are just a recipe for chaos, not my idea of a memorable birthday. A sophisticated speakeasy is a much better fit for a unique celebration.",weighted,,,0.207,birthday_person,True,5,2,5,1,2,5,3
20260504_141354_563426,4,discussion,Blake,False,"Sounds like a speakeasy could be a cool alternative, but I'm still leaning towards a club with a live DJ for a more energetic vibe.",weighted,,,0.187,social_coordinator,False,5,4,2,5,4,1,1
20260504_141354_563426,4,discussion,Riley,False,"I think we should prioritize a low-key setting where everyone can have fun without getting out of hand, considering I'm driving and responsible for getting us home safely tonight.",weighted,,,0.187,designated_driver,False,5,5,2,2,3,3,2
20260504_141354_563426,5,deepening,Casey,False,"Blake's still fixated on live DJs, but doesn't that just guarantee a night of screaming over music and spilled drinks? A speakeasy offers a refined atmosphere where we can actually converse and enjoy each other's company.",weighted,,,0.158,birthday_person,True,5,2,5,1,2,5,3
20260504_141354_563426,5,deepening,Riley,False,"Considering we all want a memorable night, can we really afford to risk someone getting too drunk in a crowded club when a more low-key option is available?",weighted,,,0.158,designated_driver,False,5,5,2,2,3,3,2
20260504_141354_563426,6,deepening,Blake,False,"Riley's concern about safety is totally reasonable, but can't we just set a limit on drinks and make sure everyone's got a safe ride home if we do go to a club?",weighted,,,0.1,social_coordinator,False,5,4,2,5,4,1,1
20260504_141354_563426,6,deepening,Casey,False,"Clubs are inherently risky when it comes to safety and responsible drinking, setting a limit on drinks doesn't guarantee anything. Can we really trust that everyone will stick to their limits in a loud, overwhelming environment?",weighted,,,0.1,birthday_person,True,5,2,5,1,2,5,3
20260504_141354_563426,7,deepening,Casey,False,"Setting drink limits in a loud club is just a Band-Aid solution, it doesn't address the underlying issue of the environment being conducive to reckless behavior. Can we honestly expect people to keep track of their drinks and make responsible decisions in a place designed to get you lost in the music and the moment?",weighted,,,0.108,birthday_person,True,5,2,5,1,2,5,3
20260504_141354_563426,8,closing,Blake,False,"I think we're all on the same page now that safety and a low-key vibe are priorities, so a speakeasy it is.",weighted,,,0.125,social_coordinator,False,5,4,2,5,4,1,1
20260504_141354_563426,8,closing,Casey,False,"Looks like we've finally settled on a speakeasy, which is a huge relief because it's the only option that makes sense for a low-key yet memorable birthday celebration.",closure,,,0.096,birthday_person,True,5,2,5,1,2,5,3
20260504_141354_563426,8,closing,Blake,False,"Tonight's plan is shaping up to be a speakeasy outing, which sounds like a great compromise for a fun and safe birthday celebration.",closure,,,0.096,social_coordinator,False,5,4,2,5,4,1,1
20260504_141354_563426,8,closing,Riley,False,We're going to a speakeasy and that's a great decision because it balances our desire for a fun celebration with the need for a safe and low-key environment.,closure,,,0.096,designated_driver,False,5,5,2,2,3,3,2
20260504_141354_563426,8,closing,Moderator,True,Thanks for sharing — good conversation.,moderator,,,0.096,,,,,,,,,
